A1	1734024
B1	1734108
C1	1734175
D1	6174438
E1	6174439
F1	6174585
G1	6174586
H1	6174587
A2	6174588
B2	6174589
C2	6174590
D2	6174591
E2	6174592
F2	6174593
G2	6174594
H2	6174595
A3	6174596
B3	6174597
C3	6174598
D3	6174599
E3	6174600
F3	6174619
G3	neg1
H3	6174620
A4	6174621
B4	6174622
C4	6174623
D4	6174624
E4	6174625
F4	6174626
G4	6174631
H4	6174634
A5	6174635
B5	6174636
C5	6174637
D5	6174639
E5	6174640
F5	6174641
G5	6174642
H5	6174643
A6	6174644
B6	6174665
C6	6174666
D6	6174667
E6	6174669
F6	neg2
G6	6174670
H6	6174671
A7	6174672
B7	6174673
C7	6174674
D7	6174675
E7	6174676
F7	6174677
G7	6174678
H7	6174679
A8	6174680
B8	6174681
C8	6174682
D8	6174683
E8	6174684
F8	6174685
G8	6174686
H8	6174687
A9	6174688
B9	po
C9	6174689
D9	89092093
E9	89094785
F9	89096835
G9	neg3
H9	89096927
A10	89105902
B10	neg4
C10	89114888
D10	89114906
E10	89114950
F10	89116188
G10	89116199
H10	89116202
A11	89116233
B11	89117277
C11	89130235
D11	89130248
E11	89130382
